comment_id,video_id,author_name,author_channel_id,text,likes,published_at,updated_at,is_reply,parent_id,reply_count,scraped_at
UgwXL4sDH2Xvpuu0FO94AaABAg,J52vmTBpqBs,@dallas5159,,55:1.04:01 ❤‍🔥,0,2026-03-17T23:39:45.050179+00:00,,0,,0,2026-03-17T22:00:36.215412
UgxSEmGRB81uzt5Pqqx4AaABAg,J52vmTBpqBs,@jonathanadodoo4423,,This is particularly interesting for me because I’m currently based in Vietnam and I’m looking to enter the importation business. I have a friend in Ghana who’s connected to retailers with money ready to import goods from Vietnam. Would really love to connect to see what I can do to be of service to your business,0,2026-03-17T19:39:43.810213+00:00,,0,,0,2026-03-17T22:00:36.191620
UgzrmyjDGh-1NiMYdgd4AaABAg,J52vmTBpqBs,@Kotibrim,,"Dude of you made a million dollars,  you won't be on social media!!!",0,2026-03-17T18:39:45.050219+00:00,,0,,0,2026-03-17T22:00:36.217967
UgwWtxPG3_ZH46YCWVR4AaABAg,J52vmTBpqBs,@mariankwaw-yankson9392,,"""Slow is fast."" That's my takeaway. Thank you, Derrick,  for always bringing us great content. God bless you.",0,2026-03-17T11:39:43.171181+00:00,,0,,0,2026-03-17T22:00:36.176454
UgyFdLgBeR4KqxJuGAN4AaABAg,J52vmTBpqBs,@Kinsground,,Why mute if you’re helping other I don’t get it,0,2026-03-17T10:39:45.049938+00:00,,0,,0,2026-03-17T22:00:36.212381
UgwXzzaoCrxFxZf5E_F4AaABAg,xwLrHUwGtJM,@eddywest6028,,ebe the camera quality wey good or ebe Ama wey dey bee cos eii,0,2026-03-17T03:39:58.185811+00:00,,0,,0,2026-03-17T22:00:50.552017
Ugy0JACyv5pDdJS45cd4AaABAg,xwLrHUwGtJM,@Hauweeiy,,Make it to the end 🔥🔥,0,2026-03-17T01:39:53.735263+00:00,,0,,0,2026-03-17T22:00:50.475930
UgwRr_itawtP4HMbSIp4AaABAg,xwLrHUwGtJM,@isaacmensah3883,,The editing is crazyyyyy. Love love love it ❤,0,2026-03-17T01:39:51.486578+00:00,,0,,0,2026-03-17T22:00:50.423853
Ugyp8Kegudo3guRyd_h4AaABAg,J52vmTBpqBs,@lizm2220,,a very good interview,0,2026-03-17T01:39:45.050284+00:00,,0,,0,2026-03-17T22:00:36.219243
UgwEqGdDlGACzaaLBTN4AaABAg,J52vmTBpqBs,@charlesbruce6175,,"All Ghananians, no matter his or her Status in life, have this ""strange"" mentality to live like a ""Lord""(Broni). It became inherent in us. This is the effect of colonisation. So as soon as we get into a Position where he/she comes into contact with money, this ""Lord"" mentality clicks into place. And we tell ourselves ""this is it!"" So he/she takes the opportunity to ""steal"" some of the money to buy the latest clothes, shoes, eat ""good"" food. This happens at every level of any profession. From a factory worker, a messenger in an office, Taxi Driver, Politician, infact every Ghananian. Why do Businesses of ""Rich"" people collapse after their demise. A Kwahu Businessman I knew went everywhere with a Charted Car, he died, and the first thing his Wofasie who inherited him did was to buy the latest Benz on the Market! Also a driver I worked with in a government department, on retirement, had his daughter bought him a Taxi, to take care of himself, within a few months the Car broke down and he had no money to repair it -all because he lived like a Lord/Rich man.",0,2026-03-17T01:39:45.050211+00:00,,0,,0,2026-03-17T22:00:36.217558
